DSCompilerTest,testIncompatibleParams,1,1
LoessInterpolatorTest,testNotAllFiniteReal1,1,1
LoessInterpolatorTest,testNotAllFiniteReal4,1,1
LoessInterpolatorTest,testNonStrictlyIncreasing1,1,1
PolynomialFunctionTest,testfirstDerivativeComparison,1,1
UnivariateSolverUtilsTest,testBadInitial,1,1
ComplexFormatAbstractTest,testParseSimpleWithDecimals,1,1
ComplexFormatAbstractTest,testSimpleWithDecimals,1,1
ComplexFormatAbstractTest,testZeroReal,1,1
ComplexFormatAbstractTest,testParseNan,1,1
ComplexFormatAbstractTest,testNan,1,1
ComplexFormatAbstractTest,testSimpleNoDecimals,1,1
ComplexTest,testSqrtRealPositive,1,0
ComplexTest,testAtanI,1,1
ComplexTest,testExpInf1,0,0
ComplexTest,testDivideZero,1,1
ComplexTest,testDivideReal,1,1
ComplexTest,testNthRoot_normal_thirdRoot,1,1
BinomialDistributionTest,testDegenerate1,0,0
EmpiricalDistributionTest,testGridTooFine,0,0
EmpiricalDistributionTest,testNextFail1,0,0
MultivariateNormalMixtureExpectationMaximizationTest,testMaxIterationsPositive,1,1
GammaDistributionTest,testMath753Shape1,1,1
HypergeometricDistributionTest,testDegenerateNoFailures,1,1
HypergeometricDistributionTest,testLargeValues,1,1
TriangularDistributionTest,testPreconditions1,0,0
UniformRealDistributionTest,testPreconditions1,1,1
ZipfDistributionTest,testPreconditions1,1,1
GaussianCurveFitterTest,testFit01,0,0
GaussNewtonOptimizerWithCholeskyTest,testMoreEstimatedParametersSimple,0,0
GaussNewtonOptimizerWithLUTest,testMoreEstimatedParametersSimple,0,0
GaussNewtonOptimizerWithQRTest,testMoreEstimatedParametersUnsorted,0,0
BigFractionFormatTest,testFormat,1,1
BigFractionFormatTest,testParseInvalid,1,1
BigFractionFormatTest,testLongFormat,0,1
BigFractionFormatTest,testParseProper,1,1
BigFractionFormatTest,testFormatImproper,1,1
BigFractionTest,testPositiveValueOverflow,1,1
FractionFormatTest,testParseProper,1,1
FractionFormatTest,testFormatImproper,1,1
FractionFormatTest,testParseInvalid,1,1
FractionFormatTest,testFormat,1,1
FractionFormatTest,testParseOne1,1,1
WelzlEncloser2DTest,testRegularPoints,1,1
Vector1DFormatAbstractTest,testForgottenPrefix,1,1
Vector1DFormatAbstractTest,testParseNegativeX,1,1
Vector1DFormatAbstractTest,testSimpleNoDecimals,1,1
Vector1DFormatAbstractTest,testSimpleWithDecimals,1,1
Vector1DFormatAbstractTest,testParseNan,1,1
Vector1DFormatAbstractTest,testParseSimpleWithDecimals,1,1
Vector1DFormatAbstractTest,testNan,1,1
FieldRotationDfpTest,testRevertVectorOperator,1,1
FieldRotationDfpTest,testAxisAngleVectorOperator,0,0
FieldRotationDSTest,testAxisAngleVectorOperator,0,0
FieldRotationDSTest,testComposeVectorOperator,1,1
FieldRotationDSTest,testRevertVectorOperator,1,1
PolyhedronsSetTest,testTooClose,1,1
RotationTest,testAxisAngleVectorOperator,1,1
RotationTest,testRevertVectorOperator,1,1
SubLineTest,testIntersectionInsideBoundary,1,1
SubLineTest,testIntersectionInsideOutside,1,1
Vector3DFormatAbstractTest,testParseSimpleWithDecimals,1,1
Vector3DFormatAbstractTest,testParseNan,1,1
Vector3DFormatAbstractTest,testSimpleNoDecimals,1,1
Vector3DFormatAbstractTest,testForgottenPrefix,1,1
